"","term","estimate"
"2219","zT",30.3091936507548
"2220","zRH",471.672479004954
"2221","log10Dref",2.30100116544204
"2222","zT",29.538426309217
"2223","zRH",283.393560947242
"2224","log10Dref",2.18307685835351
"2225","zT",29.9716921187071
"2226","zRH",442.883783156448
"2227","log10Dref",2.31168408683488
"2228","zT",29.7491049325131
"2229","zRH",266.196937622851
"2230","log10Dref",2.47316612468927
"2231","zT",28.1736558555037
"2232","zRH",188.768833658614
"2233","log10Dref",2.33646730389029
"2234","zT",29.0085109166582
"2235","zRH",402.010607219558
"2236","log10Dref",2.30493310943578
"2237","zT",28.632651162556
"2238","zRH",295.40944979261
"2239","log10Dref",2.49842880636135
"2240","zT",27.9955277716388
"2241","zRH",140.565934033712
"2242","log10Dref",2.31836591644251
"2243","zT",29.0669149294711
"2244","zRH",368.517676544368
"2245","log10Dref",2.40294429385697
"2246","zT",28.41154273784
"2247","zRH",317.364007152251
"2248","log10Dref",2.48463015701518
"2249","zT",28.5387792215344
"2250","zRH",161.597565753838
"2251","log10Dref",2.35719339705813
"2252","zT",28.7485502660115
"2253","zRH",291.595019939695
"2254","log10Dref",2.40943973725192
"2255","zT",28.9156448713212
"2256","zRH",239.764120237291
"2257","log10Dref",2.44647412681706
"2258","zT",28.135363940382
"2259","zRH",268.262355858832
"2260","log10Dref",2.25417754416882
"2261","zT",30.1514423784474
"2262","zRH",274.426404224834
"2263","log10Dref",2.3273380439203
"2264","zT",29.3049928310432
"2265","zRH",255.682228338724
"2266","log10Dref",2.4680949097349
"2267","zT",28.5893992030606
"2268","zRH",186.718957047384
"2269","log10Dref",2.45048607715971
"2270","zT",28.6252509283241
"2271","zRH",177.826105318245
"2272","log10Dref",2.27453209803411
"2273","zT",29.3162154140017
"2274","zRH",260.690344083963
"2275","log10Dref",2.25781471505844
"2276","zT",29.743382056721
"2277","zRH",337.687737231283
"2278","log10Dref",2.56941517755297
"2279","zT",27.8523807528053
"2280","zRH",135.872781780967
"2281","log10Dref",2.33992036121926
"2282","zT",29.5214125024896
"2283","zRH",339.777078573516
"2284","log10Dref",2.22864391517756
"2285","zT",30.0496434777548
"2286","zRH",283.57305395768
"2287","log10Dref",2.42675593392236
"2288","zT",28.8712273608307
"2289","zRH",193.657948414005
"2290","log10Dref",2.24000196831127
"2291","zT",29.8683428322987
"2292","zRH",357.946068108789
"2293","log10Dref",2.39309750283266
"2294","zT",28.7197454657549
"2295","zRH",207.755010176579
"2296","log10Dref",2.26340540953153
"2297","zT",29.8666730147066
"2298","zRH",209.596391594594
"2299","log10Dref",2.4085219067507
"2300","zT",28.864458536557
"2301","zRH",160.825796764911
"2302","log10Dref",2.4517086460776
"2303","zT",28.0679141460186
"2304","zRH",309.066213001914
"2305","log10Dref",2.31599416242816
"2306","zT",28.7554821218208
"2307","zRH",195.163926567345
"2308","log10Dref",2.4045893928395
"2309","zT",28.7575529862404
"2310","zRH",355.363408288657
"2311","log10Dref",2.3263822355497
"2312","zT",30.0320180812653
"2313","zRH",240.231545000506
"2314","log10Dref",2.37951881602393
"2315","zT",28.2385953319213
"2316","zRH",421.946807476964
"2317","log10Dref",2.17188479967426
"2318","zT",29.2550120447194
"2319","zRH",400.791109381412
"2320","log10Dref",2.26022135257215
"2321","zT",29.3497190985901
"2322","zRH",326.391959869832
"2323","log10Dref",2.39925278694409
"2324","zT",28.7380640945522
"2325","zRH",196.192568768886
"2326","log10Dref",2.28438884985059
"2327","zT",29.5392886094953
